,GM_CODE,gm_naam,0,oder,order
251,GM0168,Losser,1.3107667963706193,122,0
2015,GM1684,Cuijk,,239,1
524,GM0279,Scherpenzeel,,318,2
1665,GM0856,Uden,,89,3
1273,GM0627,Waddinxveen,,322,4
1791,GM0938,Meerssen,,200,5
2316,GM1903,Eijsden-Margraten,,74,6
461,GM0262,Lochem,,353,7
146,GM0106,Assen,3.508109727790618,123,8
1553,GM0797,Heusden,,65,9
2050,GM1699,Noordenveld,,328,10
1301,GM0638,Zoeterwoude,,142,11
643,GM0317,Eemnes,,45,12
2183,GM1735,Hof van Twente,,186,13
370,GM0216,Culemborg,,103,14
1966,GM1659,Laarbeek,,243,15
650,GM0321,Houten,,60,16
2120,GM1719,Drimmelen,,274,17
1077,GM0512,Gorinchem,,189,18
1903,GM1581,Utrechtse Heuvelrug,,138,19
832,GM0388,Enkhuizen,,88,20
1574,GM0815,Mill en Sint Hubert,,16,21
1728,GM0882,Landgraaf,,91,22
2197,GM1742,Rijssen-Holten,,161,23
1070,GM0505,Dordrecht,,167,24
2036,GM1695,Noord-Beveland,,251,25
1770,GM0917,Heerlen,,339,26
1994,GM1676,Schouwen-Duiveland,,290,27
1287,GM0632,Woerden,,21,28
27,GM0024,Loppersum,4.489076188926153,237,29
1154,GM0547,Leiderdorp,,22,30
2477,GM1970,Noardeast-Fryslân,,47,31
468,GM0263,Maasdriel,,15,32
13,GM0010,Delfzijl,6.226729270481795,80,33
1987,GM1674,Roosendaal,,341,34
1504,GM0779,Geertruidenberg,,73,35
2239,GM1859,Berkelland,,87,36
594,GM0302,Nunspeet,,25,37
2295,GM1896,Zwartewaterland,,185,38
2372,GM1940,De Fryske Marren,,236,39
1189,GM0579,Oegstgeest,,334,40
636,GM0313,Bunschoten,,241,41
1518,GM0785,Goirle,,66,42
1763,GM0907,Gennep,,298,43
1721,GM0880,Wormerland,,117,44
1105,GM0530,Hellevoetsluis,,299,45
972,GM0448,Texel,,195,46
1945,GM1652,Gemert-Bakel,,220,47
1441,GM0756,Boxmeer,,192,48
1126,GM0534,Hillegom,,211,49
1462,GM0762,Deurne,,143,50
2253,GM1883,Sittard-Geleen,,273,51
482,GM0268,Nijmegen,,109,52
1245,GM0613,Albrandswaard,,331,53
1483,GM0770,Eersel,,105,54
440,GM0244,Hattem,,340,55
874,GM0399,Heiloo,,310,56
860,GM0397,Heemstede,,213,57
2449,GM1961,Vijfheerenlanden,,111,58
419,GM0232,Epe,,159,59
