,GM_CODE,GM_NAAM,area,AANT_INW,BEV_DICHTH,order
65,GM0262,Lochem,215942010.32595506,33729,158,0
178,GM0614,Westvoorne,58423935.851287454,14731,277,1
347,GM1959,Altena,226642947.77823937,55967,279,2
3,GM0024,Loppersum,111989193.68661544,9537,86,3
212,GM0772,Eindhoven,88915366.81648254,234394,2674,4
59,GM0232,Epe,157372017.7413516,33178,213,5
40,GM0180,Staphorst,135693600.50860578,17145,128,6
235,GM0852,Waterland,55832503.77944931,17424,334,7
258,GM0957,Roermond,71050925.14818336,58260,958,8
285,GM1680,Aa en Hunze,278874903.3699414,25445,92,9
60,GM0233,Ermelo,85633796.23514853,27008,315,10
71,GM0274,Renkum,47233270.97684796,31419,684,11
213,GM0777,Etten-Leur,55921294.140977755,43878,793,12
119,GM0392,Haarlem,32091235.39946307,162902,5585,13
292,GM1699,Noordenveld,205290538.95760897,31253,157,14
68,GM0268,Nijmegen,57628057.008021854,177659,3346,15
160,GM0534,Hillegom,13465591.185724575,22209,1725,16
150,GM0502,Capelle aan den IJssel,15399973.434222061,67122,4747,17
157,GM0530,Hellevoetsluis,41904670.63213134,40142,977,18
95,GM0335,Montfoort,38202586.19959501,13917,370,19
312,GM1740,Neder-Betuwe,67461073.85186039,24339,406,20
49,GM0209,Beuningen,47089889.77017545,25890,593,21
147,GM0489,Barendrecht,21730585.055377044,48714,2467,22
192,GM0687,Middelburg,49759206.37104232,48822,1008,23
180,GM0626,Voorschoten,11559446.100662868,25596,2297,24
56,GM0226,Duiven,35187885.23152537,25126,741,25
256,GM0944,Mook en Middelaar,18810090.203588203,7847,451,26
126,GM0402,Hilversum,46348607.55153393,90831,1991,27
230,GM0840,Rucphen,64475178.98575308,22878,355,28
23,GM0118,Hoogeveen,129249620.26679812,55699,437,29
273,GM1598,Koggenland,83293902.2641135,22749,283,30
305,GM1724,Bergeijk,101753717.76735784,18635,184,31
29,GM0153,Enschede,142724067.06418046,159640,1134,32
132,GM0420,Medemblik,126193827.70211285,45101,371,33
240,GM0865,Vught,34692360.517826796,26558,787,34
116,GM0384,Diemen,12921745.935581503,30780,2566,35
284,GM1676,Schouwen-Duiveland,236578200.79566577,33839,147,36
83,GM0301,Zutphen,42934420.89928029,47934,1170,37
11,GM0074,Heerenveen,198165256.90360814,50493,266,38
109,GM0363,Amsterdam,196552344.42037627,872757,5273,39
270,GM1525,Teylingen,33486977.10437558,37440,1319,40
247,GM0888,Beek,21033748.679149885,15865,754,41
307,GM1729,Gulpen-Wittem,73360503.26541719,14171,194,42
287,GM1684,Cuijk,57068549.19912454,25130,491,43
352,GM1969,Westerkwartier,368845700.6496473,63329,175,44
53,GM0221,Doesburg,12958308.42192653,11077,961,45
165,GM0553,Lisse,16054142.65784661,22955,1463,46
27,GM0148,Dalfsen,166518037.1237668,28587,173,47
